,ET,P,wy,sumP
2000-10-31,,148.86799669265747,2001,148.86799669265747
2000-11-30,,24.22478181123733,2001,173.0927785038948
2000-12-31,,22.525520304838814,2001,195.6182988087336
2001-01-31,26.693005351827406,184.57851600646978,2001,380.1968148152034
2001-02-28,29.36193340571814,192.06899563471478,2001,572.2658104499181
2001-03-31,29.370676633122606,108.16534431775412,2001,680.4311547676723
2001-04-30,11.703846153846156,173.87909698486328,2001,854.3102517525356
2001-05-31,59.15369132216948,0.27843750380755716,2001,854.5886892563432
2001-06-30,42.77966278101582,0.0,2001,854.5886892563432
2001-07-31,67.19387489592008,22.217407087485,2001,876.8060963438281
2001-08-31,45.132103455453795,0.0,2001,876.8060963438281
2001-09-30,51.790669233971684,0.14146875164684997,2001,876.9475650954749
2001-10-31,25.017468395069866,45.20615573724112,2002,45.20615573724112
2001-11-30,26.980983578962075,201.0688948631287,2002,246.2750506003698
2001-12-31,23.632532287771014,286.76543394724536,2002,533.0404845476152
2002-01-31,18.069528223961544,113.01774915059408,2002,646.0582336982093
2002-02-28,34.25825952107199,42.118834376335144,2002,688.1770680745444
2002-03-31,23.214232729917576,152.7164630889893,2002,840.8935311635337
2002-04-30,41.642989476240835,53.45770804087322,2002,894.3512392044069
2002-05-31,58.897674705470436,48.89540489514669,2002,943.2466440995536
2002-06-30,64.24994796003331,3.21071869879961,2002,946.4573627983532
2002-07-31,51.64479548434532,0.0,2002,946.4573627983532
2002-08-31,38.27942860116569,0.0,2002,946.4573627983532
2002-09-30,49.5004943796836,0.7784062350789708,2002,947.2357690334321
2002-10-31,26.90840965861782,7.440208226442336,2003,7.440208226442336
2002-11-30,28.369926103247295,265.4291639328003,2003,272.86937215924263
2002-12-31,24.90719758376978,247.8288194338481,2003,520.6981915930908
2003-01-31,26.5182867006589,21.64612583319347,2003,542.3443174262842
2003-02-28,24.753678736785,147.78858184814453,2003,690.1328992744287
2003-03-31,49.59807014472455,127.86028869946799,2003,817.9931879738967
2003-04-30,14.492505995203835,212.67498302459717,2003,1030.668170998494
2003-05-31,28.98881847268241,85.90462231636049,2003,1116.5727933148544
2003-06-30,64.97835137385513,0.0,2003,1116.5727933148544
2003-07-31,37.784236655791986,6.886364713311195,2003,1123.4591580281656
2003-08-31,51.66506269775187,36.760551691055305,2003,1160.2197097192209
2003-09-30,53.46906223980017,2.9260624051094055,2003,1163.1457721243303
2003-10-31,27.94889465672868,1.6985833818713825,2004,1.6985833818713825
2003-11-30,24.236729284890576,76.23234717051189,2004,77.93093055238327
2003-12-31,10.784781871609404,274.8627290725708,2004,352.7936596249541
2004-01-31,31.16476510551352,80.34222213427228,2004,433.1358817592264
2004-02-29,46.76851996060757,198.9673401514689,2004,632.1032219106953
2004-03-31,38.763956803354105,39.05165668328603,2004,671.1548785939813
2004-04-30,43.38048007314103,13.824406315883,2004,684.9792849098643
2004-05-31,44.626274979184025,11.838416894276937,2004,696.8177018041413
2004-06-30,65.04176207327228,0.06764583242087005,2004,696.8853476365621
2004-07-31,56.513270191507075,1.504302099347115,2004,698.3896497359092
2004-08-31,39.73042496123874,0.0,2004,698.3896497359092
2004-09-30,43.91386171169919,1.0259374665717285,2004,699.415587202481
2004-10-31,41.807017820055165,205.9535531997681,2005,205.9535531997681
2004-11-30,21.771641426331747,48.47276202837626,2005,254.42631522814435
2004-12-31,16.09060572870342,172.91656780242923,2005,427.3428830305736
2005-01-31,28.09819559541976,344.8972838719686,2005,772.2401669025422
2005-02-28,57.59440728064716,140.6286651293437,2005,912.8688320318859
2005-03-31,34.31964562332377,234.53284899393722,2005,1147.401681025823
2005-04-30,33.456952469553265,86.57758498191833,2005,1233.9792660077414
2005-05-31,60.199963083809415,129.7849198182424,2005,1363.764185825984
2005-06-30,62.04848808951287,0.11683333098577958,2005,1363.8810191569696
2005-07-31,48.547720649458796,0.0,2005,1363.8810191569696
2005-08-31,60.85072335553707,7.34506260852019,2005,1371.2260817654899
2005-09-30,52.78070358034971,9.727374762296677,2005,1380.9534565277866
2005-10-31,30.02607202331391,16.007603387037914,2006,16.007603387037914
2005-11-30,25.799891394852118,25.46891655524572,2006,41.47651994228363
2005-12-31,23.8896437412165,253.07279380162558,2006,294.54931374390924
2006-01-31,33.22113426166467,300.0672794977824,2006,594.6165932416916
2006-02-28,37.888297037916374,108.37265467643738,2006,702.989247918129
2006-03-31,36.121305953933074,320.7965968449911,2006,1023.78584476312
2006-04-30,39.89583333333333,336.39867814381927,2006,1360.1845229069393
2006-05-31,46.67378079761952,38.72202253341675,2006,1398.906545440356
2006-06-30,66.78348771856786,0.0,2006,1398.906545440356
2006-07-31,54.49555058284763,26.88837494452795,2006,1425.794920384884
2006-08-31,54.16478455453789,0.0,2006,1425.794920384884
2006-09-30,52.64253746877603,0.0,2006,1425.794920384884
2006-10-31,30.771154246461286,13.933125237623853,2007,13.933125237623853
2006-11-30,23.22249170722438,28.61933408180873,2007,42.552459319432586
2006-12-31,20.30154670873237,125.63331023852032,2007,168.1857695579529
2007-01-31,20.072906071412916,32.33072785536449,2007,200.5164974133174
2007-02-28,41.07520102200838,191.8673308690389,2007,392.3838282823563
2007-03-31,33.952804716444064,46.62023897965751,2007,439.00406726201385
2007-04-30,35.32663841228763,39.730927427609764,2007,478.7349946896236
2007-05-31,63.460996044962556,9.740531106789907,2007,488.4755257964135
2007-06-30,59.94018005828477,0.0,2007,488.4755257964135
2007-07-31,44.53624583680268,0.0,2007,488.4755257964135
2007-08-31,53.987744587843466,10.08435434103012,2007,498.5598801374436
2007-09-30,55.72978247293922,12.129375219345095,2007,510.6892553567887
2007-10-31,29.231499791840136,23.300698002179463,2008,23.300698002179463
2007-11-30,23.98038093255621,6.978968873620033,2008,30.279666875799496
2007-12-31,23.54769782382381,154.90056419372561,2008,185.18023106952512
2008-01-31,28.621104552650678,291.3603658676148,2008,476.5405969371399
2008-02-29,40.43942341519217,234.36065006256106,2008,710.901246999701
2008-03-31,37.162577262900975,25.17789628108343,2008,736.0791432807844
2008-04-30,36.06077032879885,0.47259375670303905,2008,736.5517370374874
2008-05-31,38.81437055276278,41.95544842878978,2008,778.5071854662772
2008-06-30,57.96378018318068,0.0,2008,778.5071854662772
2008-07-31,44.56229184013324,22.71682210763296,2008,801.2240075739102
2008-08-31,37.92540070774355,0.0,2008,801.2240075739102
2008-09-30,50.90289342214822,0.8790416717529297,2008,802.1030492456631
2008-10-31,34.86735012489593,43.32007209459942,2009,43.32007209459942
2008-11-30,20.64378642797669,122.15173705418906,2009,165.47180914878848
2008-12-31,22.894173550633337,150.3914785385132,2009,315.8632876873017
2009-01-31,32.87122140242577,153.03225644429526,2009,468.8955441315969
2009-02-28,44.01332739094657,214.05750385920211,2009,682.9530479907991
2009-03-31,55.93066614508687,99.0968662897746,2009,782.0499142805736
2009-04-30,41.235754806836404,52.33477028210958,2009,834.3846845626832
2009-05-31,60.62507455983245,55.956751624743156,2009,890.3414361874264
2009-06-30,49.21451741604219,36.530801653862,2009,926.8722378412884
2009-07-31,49.29367335320423,0.0,2009,926.8722378412884
2009-08-31,49.18268630308077,8.228510141372682,2009,935.1007479826611
2009-09-30,41.59320358034971,0.0,2009,935.1007479826611
2009-10-31,30.402860869999337,203.66946887969974,2010,203.66946887969974
2009-11-30,23.649997576617505,6.0292916645606365,2010,209.69876054426038
2009-12-31,16.548194887754214,212.67022323608398,2010,422.36898378034437
2010-01-31,25.397547421040116,221.83037487665817,2010,644.1993586570026
2010-02-28,18.45025616662298,233.85723543167117,2010,878.0565940886737
2010-03-31,35.52755899204275,99.24337220191956,2010,977.2999662905933
2010-04-30,33.598969730124,200.20212920506796,2010,1177.5020954956613
2010-05-31,56.856786250292686,46.36043723424275,2010,1223.862532729904
2010-06-30,56.24286881125598,0.0,2010,1223.862532729904
2010-07-31,56.122241881765206,0.6512291828791301,2010,1224.5137619127831
2010-08-31,51.17972002497919,0.0,2010,1224.5137619127831
2010-09-30,44.7971697371809,1.4233229607343678,2010,1225.9370848735175
2010-10-31,32.08151347379497,162.42455228169763,2011,162.42455228169763
2010-11-30,25.846370064791323,129.96975135803225,2011,292.39430363972986
2010-12-31,25.39727735293135,529.8811422983806,2011,822.2754459381105
2011-01-31,28.018021116387075,99.23799085617065,2011,921.5134367942811
2011-02-28,47.81706788948853,187.23203420639044,2011,1108.7454710006716
2011-03-31,29.955713572854293,390.16729672749847,2011,1498.91276772817
2011-04-30,42.875,43.95481316248577,2011,1542.8675808906557
2011-05-31,41.761674078421585,102.81809139251712,2011,1645.6856722831728
2011-06-30,59.78527638937607,60.00409507751466,2011,1705.6897673606875
2011-07-31,67.80645844235686,7.752489452560744,2011,1713.4422568132484
2011-08-31,55.1129787676936,4.5749164919058485,2011,1718.017173305154
2011-09-30,60.57569213155704,19.35811374584834,2011,1737.3752870510025
2011-10-31,38.617714404662784,72.680499235789,2012,72.680499235789
2011-11-30,24.339765467486394,46.31632395585379,2012,118.99682319164279
2011-12-31,16.946097730108395,0.0,2012,118.99682319164279
2012-01-31,24.279272951662286,164.2233640352885,2012,283.22018722693133
2012-02-29,36.413301078077694,44.636343598365784,2012,327.8565308252971
2012-03-31,24.755228678140888,134.25587876637778,2012,462.11240959167486
2012-04-30,49.06545857722382,140.26330757141113,2012,602.3757171630859
2012-05-31,49.1521128226478,3.353428140282631,2012,605.7291453033686
2012-06-30,64.23597522897586,2.7946875244379044,2012,608.5238328278065
2012-07-31,46.97008386651475,0.0,2012,608.5238328278065
2012-08-31,39.793193172356375,1.6549270773927371,2012,610.1787599051993
2012-09-30,49.11152164862615,0.0,2012,610.1787599051993
2012-10-31,38.85700340354618,29.46508246660233,2013,29.46508246660233
2012-11-30,18.00521107788655,98.60449854532878,2013,128.06958101193112
2012-12-31,24.45771629903099,295.2756932576498,2013,423.3452742695809
2013-01-31,28.9869670168149,49.16284473737081,2013,472.5081190069517
2013-02-28,36.00486210570632,27.591083447138473,2013,500.0992024540902
2013-03-31,41.816769219990285,42.78613475958507,2013,542.8853372136753
2013-04-30,34.68305449524995,32.21491754055024,2013,575.1002547542255
2013-05-31,58.56107868772433,14.680781553188957,2013,589.7810363074144
2013-06-30,53.94595649458786,0.9355833431084952,2013,590.716619650523
2013-07-31,49.99544650291424,5.908583318193754,2013,596.6252029687167
2013-08-31,54.356474761405515,2.095489581425985,2013,598.7206925501426
2013-09-30,53.43102102414655,9.496583541234335,2013,608.217276091377
2013-10-31,26.961838957549958,24.55298993984858,2014,24.55298993984858
2013-11-30,25.47720702870935,18.154416143894196,2014,42.707406083742775
2013-12-31,18.285933079797385,28.066051880518597,2014,70.77345796426137
2014-01-31,22.58293713120724,32.23444910844168,2014,103.00790707270305
2014-02-28,24.078352780650384,102.83302879333499,2014,205.84093586603802
2014-03-31,47.81320726242936,108.3809826374054,2014,314.2219185034434
2014-04-30,36.03072960033307,101.19779181480406,2014,415.4197103182475
2014-05-31,56.12637905911741,31.751406848430637,2014,447.17111716667813
2014-06-30,51.4953684429642,0.0,2014,447.17111716667813
2014-07-31,48.31918713572024,4.438093637426695,2014,451.6092108041048
2014-08-31,48.119145503746886,2.6939792335033417,2014,454.30319003760815
2014-09-30,43.67131557035804,25.001405914624538,2014,479.3045959522327
2014-10-31,24.05833680266445,0.0,2015,0.0
2014-11-30,23.281202481904977,74.7189391454061,2015,74.7189391454061
2014-12-31,27.81321475867201,147.93660418192545,2015,222.65554332733154
2015-01-31,23.501400465238078,5.932739670077959,2015,228.5882829974095
2015-02-28,33.717402223797755,100.08650954564413,2015,328.6747925430536
2015-03-31,37.89690752081817,13.47998997569084,2015,342.15478251874447
2015-04-30,38.25160602037351,47.541625022888184,2015,389.69640754163265
2015-05-31,65.14746963068168,25.29396881659826,2015,414.99037635823095
2015-06-30,57.360791089579045,10.480791499217352,2015,425.4711678574483
2015-07-31,69.64464508742716,28.320624887943268,2015,453.79179274539155
2015-08-31,58.55802402820626,3.591823021570842,2015,457.3836157669624
2015-09-30,38.39803152998984,12.77021861076355,2015,470.15383437772596
2015-10-31,26.31403921312343,35.363208731015526,2016,35.363208731015526
2015-11-30,22.818369742072164,108.74988738695781,2016,144.11309611797333
2015-12-31,22.035505784386938,173.16606442133588,2016,317.2791605393092
2016-01-31,25.90642393320964,229.32983255386358,2016,546.6089930931728
2016-02-29,24.533186295428038,98.74711624781291,2016,645.3561093409857
2016-03-31,51.55575030804411,178.56589968999228,2016,823.922009030978
2016-04-30,40.02788456921639,63.90600895881654,2016,887.8280179897945
2016-05-31,49.807187549600954,33.9557801882426,2016,921.7837981780372
2016-06-30,51.17993936293747,10.50418707728386,2016,932.287985255321
2016-07-31,40.26366049125728,0.0,2016,932.287985255321
2016-08-31,36.61995212323065,0.008124999951784657,2016,932.2961102552728
2016-09-30,36.99784021142354,0.6177395638078451,2016,932.9138498190806
2016-10-31,32.933734527535236,135.45760790507,2017,135.45760790507
2016-11-30,17.272767678070903,54.387198607126884,2017,189.8448065121969
2016-12-31,23.452927058825612,217.26614856719976,2017,407.11095507939666
2017-01-31,25.05248158183657,733.8558699289957,2017,1140.9668250083923
2017-02-28,30.40163945459864,383.76556015014654,2017,1524.732385158539
2017-03-31,54.203545558732074,114.63573654492697,2017,1639.368121703466
2017-04-30,58.130176589423336,175.5919017791748,2017,1814.9600234826407
2017-05-31,60.307377996526064,10.732447822888695,2017,1825.6924713055294
2017-06-30,52.819004995836806,6.234229117631914,2017,1831.9267004231613
2017-07-31,31.962978525531128,0.0,2017,1831.9267004231613
2017-08-31,40.88142693588677,5.27769772708416,2017,1837.2043981502454
2017-09-30,42.970415278934226,29.93437550465266,2017,1867.1387736548982
2017-10-31,18.579152789342217,8.425895725687345,2018,8.425895725687345
2017-11-30,24.38798334542649,93.34097186724347,2018,101.76686759293081
2017-12-31,15.444126228737645,3.306666744252046,2018,105.07353433718285
2018-01-31,25.07857699107358,108.19667975107829,2018,213.27021408826113
2018-02-28,31.88280930025455,23.919947564601905,2018,237.19016165286305
2018-03-31,56.57318241437613,442.6781091690065,2018,679.8682708218696
2018-04-30,37.57509692938197,95.82469987869263,2018,775.6929707005622
2018-05-31,74.39394661405615,10.082458277543388,2018,785.7754289781055
2018-06-30,54.85106161532059,0.0,2018,785.7754289781055
2018-07-31,37.57454324418851,4.320010443528494,2018,790.0954394216341
2018-08-31,36.42191402997503,0.0,2018,790.0954394216341
2018-09-30,35.02341798501249,0.6113645837952694,2018,790.7068040054294
2018-10-31,21.328243879151476,54.85452969868978,2019,54.85452969868978
2018-11-30,20.197895643145483,173.11006673177084,2019,227.96459643046063
2018-12-31,26.620031167657757,52.46378286679586,2019,280.42837929725647
2019-01-31,32.92069528555712,250.20199728012085,2019,530.6303765773773
2019-02-28,48.75370385539537,422.3851890563965,2019,953.0155656337738
2019-03-31,67.56420739998157,246.7300591468811,2019,1199.745624780655
2019-04-30,48.923528002894656,40.63107164700826,2019,1240.376696427663
2019-05-31,44.176675080943404,155.74391746521,2019,1396.1206138928733
2019-06-30,53.41954621149044,7.298468867937726,2019,1403.4190827608109
2019-07-31,53.7407368859284,9.34936473766963,2019,1412.7684474984806
2019-08-31,43.55763426311407,0.0,2019,1412.7684474984806
2019-09-30,47.95478055451151,2.1630521764357886,2019,1414.9314996749163
2019-10-31,20.42560886761033,0.0,2020,0.0
2019-11-30,22.711102847703515,83.63797712326051,2020,83.63797712326051
2019-12-31,29.901681791167213,184.91705052057904,2020,268.55502764383954
2020-01-31,34.97053592418677,27.423791329065967,2020,295.9788189729055
2020-02-29,29.511545935338752,12.666708091894789,2020,308.6455270648003
2020-03-31,28.276893431635386,148.3079765637716,2020,456.95350362857187
2020-04-30,61.78607361175715,140.93190240859985,2020,597.8854060371717
2020-05-31,49.181530684232015,54.55437437693278,2020,652.4397804141046
2020-06-30,54.69159966461221,0.0,2020,652.4397804141046
2020-07-31,41.7025395503747,0.0,2020,652.4397804141046
2020-08-31,33.676805786844305,0.0,2020,652.4397804141046
2020-09-30,33.92290278934222,0.0,2020,652.4397804141046
2020-10-31,25.229386165496603,0.0,2021,0.0
2020-11-30,15.264670371558735,31.32517731189728,2021,31.32517731189728
2020-12-31,19.21674116628587,65.7221995194753,2021,97.04737683137257
2021-01-31,24.31089676230941,209.96121454238894,2021,307.00859137376153
2021-02-28,40.45406578959653,43.245193441708885,2021,350.2537848154704
2021-03-31,47.421451047287334,108.91933600107829,2021,459.1731208165487
2021-04-30,33.446054383581895,11.038201063871384,2021,470.2113218804201
2021-05-31,54.91389987510409,2.752219763894876,2021,472.96354164431494
2021-06-30,41.26373855120733,1.335035433371862,2021,474.2985770776868
2021-07-31,39.74958368026646,0.29028228220219415,2021,474.588859359889
2021-08-31,39.843880099916746,0.0,2021,474.588859359889
2021-09-30,38.45565533755331,0.7807031124830247,2021,475.369562472372
