This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average
9/30/2001, -1.8743181228637695
10/8/2001, -1.2656389474868774
10/16/2001, -1.338829755783081
10/24/2001, -1.051608920097351
11/1/2001, -0.5850842595100403
11/9/2001, -0.6440518498420715
11/17/2001, 0.09668199717998505
11/25/2001, 1.4692456722259521
12/3/2001, 2.077754259109497
12/11/2001, 2.271076202392578
12/19/2001, 1.3168858289718628
12/27/2001, 1.4283297061920166
1/1/2002, 1.3179066181182861
1/9/2002, 0.4379958510398865
1/17/2002, 0.13183100521564484
1/25/2002, -0.6507349014282227
2/2/2002, -0.7160754203796387
2/10/2002, -0.5615204572677612
2/18/2002, -0.7199272513389587
2/26/2002, -1.2437912225723267
3/6/2002, -0.9314764738082886
3/14/2002, -0.9859955310821533
3/22/2002, -0.3301861882209778
3/30/2002, -0.9690369963645935
4/7/2002, -1.5613479614257812
4/15/2002, -1.7304085493087769
4/23/2002, 0.39653003215789795
5/1/2002, 0.57394939661026
5/9/2002, 0.5256129503250122
5/17/2002, 0.1934250146150589
5/25/2002, -0.6180057525634766
6/2/2002, -1.0609532594680786
6/10/2002, -1.2062101364135742
6/18/2002, -1.1736558675765991
6/26/2002, -0.953201949596405
7/4/2002, -0.7534940838813782
7/12/2002, -1.5248212814331055
7/20/2002, -1.4769667387008667
7/28/2002, -1.2796502113342285
8/5/2002, -1.1914912462234497
8/13/2002, -0.5733917951583862
8/21/2002, -0.9697719812393188
8/29/2002, -1.826764702796936
9/6/2002, -2.003634214401245
9/14/2002, -1.7535218000411987
9/22/2002, -1.8601391315460205
9/30/2002, -1.4195103645324707
10/8/2002, -1.1876144409179688
10/16/2002, -1.364026665687561
10/24/2002, -0.7083176374435425
11/1/2002, -0.7512284517288208
11/9/2002, 0.3476408123970032
11/17/2002, 0.08473220467567444
11/25/2002, -0.7209394574165344
12/3/2002, -0.5911589860916138
12/11/2002, -0.3645083010196686
12/19/2002, 0.13917990028858185
12/27/2002, 0.5932671427726746
1/1/2003, 0.09316857159137726
1/9/2003, -0.1253119856119156
1/17/2003, -1.0362273454666138
1/25/2003, -1.255206823348999
2/2/2003, -0.7612811923027039
2/10/2003, -0.5124717354774475
2/18/2003, 0.33134013414382935
2/26/2003, 0.3008182644844055
3/6/2003, 0.19103965163230896
3/14/2003, 0.18882083892822266
3/22/2003, 0.8925891518592834
3/30/2003, 0.7961430549621582
4/7/2003, 0.44921237230300903
4/15/2003, 0.6612768769264221
4/23/2003, 0.7627900838851929
5/1/2003, 1.8451204299926758
5/9/2003, 1.8603558540344238
5/17/2003, 0.6673195362091064
5/25/2003, -1.0332106351852417
6/2/2003, -0.8558934330940247
6/10/2003, -1.1921236515045166
6/18/2003, -0.973985493183136
6/26/2003, 0.31304246187210083
7/4/2003, 0.3261997103691101
7/12/2003, -0.8832162618637085
7/20/2003, -0.862342894077301
7/28/2003, -0.4094344973564148
8/5/2003, 0.1558053344488144
8/13/2003, 0.8211619853973389
8/21/2003, 0.8730062246322632
8/29/2003, 0.5152105689048767
9/6/2003, 0.4728737771511078
9/14/2003, 0.01091891061514616
9/22/2003, -0.5414215922355652
9/30/2003, -1.1631139516830444
10/8/2003, -1.7896733283996582
10/16/2003, -2.1376113891601562
10/24/2003, -1.7322049140930176
11/1/2003, -0.8631394505500793
11/9/2003, -0.15398815274238586
11/17/2003, 0.5415911078453064
11/25/2003, 1.2622112035751343
12/3/2003, -0.07896502315998077
12/11/2003, -0.09201458096504211
12/19/2003, -0.1430482715368271
12/27/2003, -0.46246445178985596
1/1/2004, 0.7302156090736389
1/9/2004, 0.7633906006813049
1/17/2004, 0.30100274085998535
1/25/2004, 1.1008210182189941
2/2/2004, 1.5940898656845093
2/10/2004, 1.765838861465454
2/18/2004, 1.8215223550796509
2/26/2004, 1.0078063011169434
3/5/2004, -0.029308585450053215
3/13/2004, -1.5174006223678589
3/21/2004, -1.700599193572998
3/29/2004, -1.6169755458831787
4/6/2004, -1.1429749727249146
4/14/2004, -1.5016133785247803
4/22/2004, -0.8768988847732544
4/30/2004, -1.4760528802871704
5/8/2004, -1.2434792518615723
5/16/2004, -1.0438274145126343
5/24/2004, -0.21146447956562042
6/1/2004, 0.11179251968860626
6/9/2004, -0.2882848083972931
6/17/2004, -0.5811753869056702
6/25/2004, -0.08428177237510681
7/3/2004, 1.036953330039978
7/11/2004, 0.1358734667301178
7/19/2004, 0.13093583285808563
7/27/2004, -0.745002269744873
8/4/2004, -1.6183730363845825
8/12/2004, -0.9164939522743225
8/20/2004, -0.28717121481895447
8/28/2004, 0.0034294722136110067
9/5/2004, 0.33007001876831055
9/13/2004, -0.8497830033302307
9/21/2004, -0.41156455874443054
9/29/2004, -0.5239161252975464
10/7/2004, 0.4107512831687927
10/15/2004, -0.4322045147418976
10/23/2004, 1.1364963054656982
10/31/2004, 2.039340019226074
11/8/2004, 2.1269869804382324
11/16/2004, 2.8639731407165527
11/24/2004, 2.0722920894622803
12/2/2004, 1.789029836654663
12/10/2004, 0.9487077593803406
12/18/2004, 0.826215386390686
12/26/2004, 0.8204534649848938
1/9/2005, 1.3379520177841187
1/17/2005, -0.15979333221912384
1/25/2005, 0.2479182332754135
2/2/2005, 0.26580342650413513
2/10/2005, -0.08113086968660355
2/18/2005, 1.3044668436050415
2/26/2005, 2.0986320972442627
3/6/2005, 1.467452883720398
3/14/2005, 1.6558144092559814
3/22/2005, 0.9136915802955627
3/30/2005, 0.300519734621048
4/7/2005, 0.4142145812511444
4/15/2005, 0.04789343103766441
4/23/2005, 0.594207763671875
5/1/2005, 1.052624225616455
5/9/2005, 1.5697224140167236
5/17/2005, 1.5837769508361816
5/25/2005, 0.9424799084663391
6/2/2005, 0.7579061388969421
6/10/2005, 0.7727198004722595
6/18/2005, 0.8490780591964722
6/26/2005, 0.8740059733390808
7/4/2005, 0.6104265451431274
7/12/2005, 0.5369853377342224
7/20/2005, 0.11338350176811218
7/28/2005, 0.09897489845752716
8/5/2005, -0.42329171299934387
8/13/2005, 0.12012720853090286
8/21/2005, 0.6878097057342529
8/29/2005, 0.7605213522911072
9/6/2005, 0.39465388655662537
9/14/2005, 0.5655021667480469
9/22/2005, 1.6408504247665405
9/30/2005, 1.6640348434448242
10/8/2005, 0.35656437277793884
10/16/2005, 0.3233388662338257
10/24/2005, 0.5833695530891418
11/1/2005, 1.3230690956115723
11/9/2005, 1.4229847192764282
11/17/2005, 1.002577543258667
11/25/2005, 0.06940129399299622
12/3/2005, -0.1428653746843338
12/11/2005, -0.08342436701059341
12/19/2005, 0.427630752325058
12/27/2005, 0.2013363391160965
1/1/2006, 1.126642107963562
1/9/2006, 0.2432209998369217
1/17/2006, 0.7126493453979492
1/25/2006, 0.9145496487617493
2/2/2006, 0.23727363348007202
2/10/2006, -0.1304604858160019
2/18/2006, -1.463324785232544
2/26/2006, -1.2685270309448242
3/6/2006, -0.9923213124275208
3/14/2006, 0.11175672709941864
3/22/2006, 1.4066319465637207
4/7/2006, 2.5459442138671875
4/15/2006, 0.51377272605896
4/23/2006, 0.6759681105613708
5/1/2006, -0.14056658744812012
5/9/2006, 0.3239504396915436
5/17/2006, -0.4029560685157776
5/25/2006, -0.4401228725910187
6/2/2006, -0.4740924537181854
6/10/2006, -0.5440577864646912
6/18/2006, -0.4144640266895294
6/26/2006, -0.2892414331436157
7/4/2006, 0.2988251745700836
7/12/2006, 0.45797839760780334
7/20/2006, 0.5752087235450745
7/28/2006, 0.6373738050460815
8/5/2006, 1.2172576189041138
8/13/2006, 1.2199612855911255
8/21/2006, 0.6505857706069946
8/29/2006, -0.8322266340255737
9/6/2006, -0.5163597464561462
9/14/2006, -0.2959682047367096
9/22/2006, 0.47493165731430054
9/30/2006, 0.7181945443153381
10/8/2006, 1.4843904972076416
10/16/2006, 1.166143536567688
10/24/2006, 0.5750943422317505
11/1/2006, 0.1891329437494278
11/9/2006, -0.484038770198822
11/17/2006, -0.6736363768577576
11/25/2006, -0.3133251965045929
12/3/2006, -0.6823679804801941
12/11/2006, 0.47706758975982666
12/19/2006, 1.5742675065994263
12/27/2006, 1.453328013420105
1/1/2007, 0.5513119697570801
1/9/2007, 0.016519315540790558
1/17/2007, -1.1108441352844238
1/25/2007, -0.7129520773887634
2/2/2007, -0.2905634343624115
2/10/2007, -0.39205747842788696
2/18/2007, -0.5463345050811768
2/26/2007, 0.4917738437652588
3/6/2007, -0.026985181495547295
3/14/2007, -0.5045848488807678
3/22/2007, -1.685163140296936
3/30/2007, -1.1988831758499146
4/7/2007, -0.766811728477478
4/15/2007, 0.056665536016225815
4/23/2007, -0.1894572377204895
5/1/2007, 0.12423877418041229
5/9/2007, -0.6506125926971436
5/17/2007, -0.46858838200569153
5/25/2007, -0.5139800310134888
6/2/2007, -0.7569239139556885
6/10/2007, -0.4574573338031769
6/18/2007, -0.47537243366241455
6/26/2007, -0.6814859509468079
7/4/2007, -1.9532994031906128
7/12/2007, -1.6077247858047485
7/20/2007, -0.936736524105072
7/28/2007, -0.4196300506591797
8/5/2007, 0.5189759731292725
8/13/2007, -0.1760805994272232
8/21/2007, -1.1030056476593018
8/29/2007, -1.24950110912323
9/6/2007, -0.9298139810562134
9/14/2007, -0.6010952591896057
9/22/2007, -0.7464919686317444
9/30/2007, 0.135829359292984
10/8/2007, 0.2904800474643707
10/16/2007, 0.6709160804748535
10/24/2007, -0.30858564376831055
11/1/2007, -0.0787106603384018
11/9/2007, -1.0014814138412476
11/17/2007, -0.7812262773513794
11/25/2007, -0.758813738822937
12/3/2007, 1.300553321838379
12/11/2007, 1.758499264717102
12/19/2007, 1.4444774389266968
12/27/2007, 1.3076815605163574
1/1/2008, 1.0874874591827393
1/9/2008, 0.8145193457603455
1/17/2008, -0.17113842070102692
1/25/2008, 0.21447156369686127
2/2/2008, 0.07787071913480759
2/10/2008, 0.2821284830570221
2/18/2008, 0.4305258095264435
2/26/2008, 0.2745172381401062
3/5/2008, -0.3262981176376343
3/13/2008, -0.03413661941885948
3/21/2008, -0.39100927114486694
3/29/2008, 0.40768125653266907
4/6/2008, 0.38040438294410706
4/14/2008, -0.13291221857070923
4/22/2008, -1.1045364141464233
4/30/2008, -0.8615100383758545
5/8/2008, -0.38406071066856384
5/16/2008, -0.8194945454597473
5/24/2008, 0.24887119233608246
6/1/2008, 0.503070592880249
6/9/2008, 0.4535643458366394
6/17/2008, -0.046138204634189606
6/25/2008, -0.6806692481040955
7/3/2008, -1.0503021478652954
7/11/2008, -0.5590125918388367
7/19/2008, -0.31824561953544617
7/27/2008, -0.15359103679656982
8/4/2008, -0.0406104251742363
8/12/2008, -0.45862385630607605
8/20/2008, -0.15562206506729126
8/28/2008, -0.05546577647328377
9/5/2008, -0.34800985455513
9/13/2008, -0.6618308424949646
9/21/2008, 0.07441524416208267
9/29/2008, -0.20987942814826965
10/7/2008, 0.22450479865074158
10/15/2008, -0.7660085558891296
10/23/2008, -1.115552544593811
10/31/2008, -2.140409231185913
11/8/2008, -1.8493229150772095
11/16/2008, -1.8764550685882568
11/24/2008, -1.595650553703308
12/2/2008, -1.69710373878479
12/10/2008, -2.085845947265625
12/18/2008, -2.249481678009033
12/26/2008, -0.8614115715026855
1/1/2009, -0.732125461101532
1/9/2009, -0.12119018286466599
1/17/2009, -1.402197003364563
1/25/2009, -1.6382712125778198
2/2/2009, -2.173474073410034
2/10/2009, -2.1636035442352295
2/18/2009, -0.9586617946624756
2/26/2009, -0.6173113584518433
3/6/2009, 0.8279573321342468
3/14/2009, 1.0009511709213257
3/22/2009, 0.37889912724494934
3/30/2009, -0.14215385913848877
4/7/2009, -0.7374460697174072
4/15/2009, -0.9295323491096497
4/23/2009, -1.2837108373641968
5/1/2009, -0.47807520627975464
5/9/2009, -0.692434549331665
5/17/2009, -0.30253490805625916
5/25/2009, -0.641262412071228
6/2/2009, -0.3979221284389496
6/10/2009, 0.892998993396759
6/18/2009, 2.585874319076538
6/26/2009, 2.691502571105957
7/4/2009, 1.6450059413909912
7/12/2009, -0.9300834536552429
7/20/2009, -1.4151862859725952
7/28/2009, -1.488333821296692
8/5/2009, -0.6932927370071411
8/13/2009, 0.44006267189979553
8/21/2009, 0.4301854968070984
8/29/2009, -0.3032994270324707
9/6/2009, -0.33730101585388184
9/14/2009, -0.0036531956866383553
9/22/2009, -0.03777536749839783
9/30/2009, -0.306749552488327
10/8/2009, -0.035243064165115356
10/16/2009, 0.6249540448188782
10/24/2009, 0.758106529712677
11/1/2009, 0.3110302686691284
11/9/2009, 0.2815304398536682
11/17/2009, -0.20577901601791382
11/25/2009, -0.48909488320350647
12/3/2009, -0.561975359916687
12/11/2009, -0.318824827671051
12/19/2009, -0.12106911092996597
12/27/2009, 0.20645418763160706
1/1/2010, 0.165662482380867
1/9/2010, -0.13671721518039703
1/17/2010, -0.48423296213150024
1/25/2010, -0.250277578830719
2/2/2010, 0.5100316405296326
2/10/2010, 1.3746763467788696
2/18/2010, 0.516098141670227
2/26/2010, 0.3231370449066162
3/6/2010, 0.41341155767440796
3/14/2010, 0.9176768064498901
3/22/2010, 0.265464723110199
3/30/2010, -0.5167727470397949
4/7/2010, -0.7455389499664307
4/15/2010, -0.33124372363090515
4/23/2010, -0.11405300348997116
5/1/2010, 0.5337249636650085
5/9/2010, 0.6848137378692627
5/17/2010, 0.8992471694946289
5/25/2010, 1.2965641021728516
6/2/2010, 1.2578240633010864
6/10/2010, 1.0736865997314453
6/18/2010, 0.7368577122688293
6/26/2010, 0.3608083128929138
7/4/2010, 0.3367913067340851
7/12/2010, 1.536652684211731
7/20/2010, 0.8815484642982483
7/28/2010, 1.161847472190857
8/5/2010, 1.2159169912338257
8/13/2010, 1.0398955345153809
8/21/2010, 0.35433515906333923
8/29/2010, 0.6577540040016174
9/6/2010, 0.0831570252776146
9/14/2010, 0.03775445371866226
9/22/2010, 0.29724571108818054
9/30/2010, -0.49299341440200806
10/8/2010, 1.1408578157424927
10/16/2010, 2.0028419494628906
10/24/2010, 2.475910186767578
11/1/2010, 1.3973493576049805
11/9/2010, 1.3934698104858398
11/17/2010, 0.43635010719299316
11/25/2010, 0.7661744356155396
12/3/2010, 0.13090015947818756
12/11/2010, -0.4842986762523651
12/19/2010, -0.621901273727417
12/27/2010, -1.2475473880767822
1/1/2011, -0.01671339012682438
1/9/2011, 0.7968480587005615
1/17/2011, 0.3803488314151764
1/25/2011, 0.22985072433948517
2/2/2011, -0.015534471720457077
2/10/2011, -0.16018126904964447
2/18/2011, 0.6849315166473389
2/26/2011, 0.6880676746368408
3/6/2011, 1.3392223119735718
3/14/2011, 1.2516473531723022
3/22/2011, 1.2776081562042236
3/30/2011, 1.3282766342163086
4/7/2011, 0.6702354550361633
4/15/2011, 2.3123791217803955
4/23/2011, 1.7047789096832275
5/1/2011, 1.0263594388961792
5/9/2011, 0.7787194848060608
5/17/2011, 1.2563488483428955
